company_name,slug,reason
"(Data center pipeline)","data-center-pipeline","Project codename - not a real company"
"Project Captain (Food)","project-captain-food","Project codename - not a real company"
"Project Caraway","project-caraway","Project codename - not a real company"
"Project Rey/Oxygen (Semis)","project-rey-oxygen-semis","Project codename - not a real company"
"Various AI Data Centers","various-ai-data-centers","Generic placeholder - not a real company"
"2510 Good Hope LLC","2510-good-hope-llc","SPE/LLC shell entity for construction"
"Brearly Street Property Group LLC","brearly-street-property-group-llc","SPE/LLC shell entity for construction"
"FIT Investment Group, LLC","fit-investment-group-llc","SPE/LLC shell entity for construction"
"Four South Blair, LLC","four-south-blair-llc","SPE/LLC shell entity for construction"
"Kenosha Downtown Block I LLC","kenosha-downtown-block-i-llc","SPE/LLC shell entity for construction"
"Kin at Freshwater LLC","kin-at-freshwater-llc","SPE/LLC shell entity for construction"
"LAG Family LLC","lag-family-llc","SPE/LLC shell entity for construction"
"NOVA GB SPE LLC","nova-gb-spe-llc","SPE/LLC shell entity for construction"
"USV 222, LLC","usv-222-llc","SPE/LLC shell entity for construction"
"WHPC-Regent Street-Madison, LLC","whpc-regent-street-madison-llc","SPE/LLC shell entity for construction"
"BMK Pharma","bmk-pharma","Too new - no website or presence yet"
"Big Lift LLC","big-lift-llc","Cannot verify - no web presence"
"Degas, LLC","degas-llc","Cannot verify - no web presence"
"Integrated Rail & Resources","integrated-rail-resources","SPAC - not an operating company"
"California Jobs First","california-jobs-first","Government program - not a company"
