company_name,slug,industry_list,reason
"TerraPower","terrapower","smr-nuclear","Location announced: Kemmerer WY under construction"
"Oklo","oklo","smr-nuclear","Location announced: Idaho groundbreaking Sept 2025"
"X-energy","x-energy","smr-nuclear","Location announced: Oak Ridge TN + Seadrift TX"
"Kairos Power","kairos-power","smr-nuclear","Location announced: Hermes reactor Oak Ridge TN under construction"
"GE Hitachi Nuclear Energy","ge-hitachi-nuclear-energy","smr-nuclear","Location announced: TVA deployment"
"Hitachi Energy","hitachi-energy","grid-transmission","Location announced: South Boston VA + Alamo TN"
"TMEIC","tmeic","grid-transmission","Location announced: Texas 9 GW inverter factory opened Nov 2024"
"Niron Magnetics","niron-magnetics","rare-earth-processing","Location announced: Sartell MN broke ground Sep 2025"
"LG Energy Solution","lg-energy-solution","battery","Location announced: Arizona + Michigan; Holland MI opened Jun 2025"
"SK On","sk-on","battery","Location announced: Georgia + Kentucky producing Aug 2025"
"Samsung SDI","samsung-sdi","battery","Location announced: Indiana GM JV + Kokomo plant"
"Panasonic Energy","panasonic-energy","battery","Location announced: De Soto KS opened Jul 2025"
"Gotion High-Tech","gotion-high-tech","battery","Location announced: Manteno IL producing late 2024"
"Verkor","verkor","battery","Location announced: Dunkirk France opened Dec 2025"
"Fluence Energy","fluence-energy","battery","Location announced: Arizona + Houston opened May 2025"
"Form Energy","form-energy","battery","Location announced: Weirton WV under construction"
"Ford Energy","ford-energy","battery","Location announced: Marshall MI BlueOval Battery Park"
"Eos Energy","eos-energy","battery","Location announced: Turtle Creek PA"
"Tesla Energy","tesla-energy","battery","Location announced: Texas Brookshire expansion"
"Stryten Energy","stryten-energy","battery","Location announced: 11 US sites expanding"
"TSMC","tsmc","semiconductor","Location announced: Phoenix AZ 3-fab complex; Fab 1 producing Q4 2024"
"Intel","intel","semiconductor","Location announced: Ohio megafab + Chandler AZ opened Oct 2025"
"Texas Instruments","texas-instruments","semiconductor","Location announced: Sherman TX opened Dec 2025"
"Lam Research","lam-research","semiconductor","Location announced: Oregon Tualatin opened Nov 2025"
"Renesas Electronics","renesas-electronics","semiconductor","Location announced: Kofu Japan fab reopened 2024"
"First Solar","first-solar","solar-manufacturing","Location announced: Alabama opened 2024; Louisiana Q3 2025"
"Trina Solar / T1 Energy","trina-solar","solar-manufacturing","Location announced: Wilmer TX opened"
"ES Foundry","es-foundry","solar-manufacturing","Location announced: Columbia SC opened Jan 2025"
